,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity,n_clusters,noise_points
K-Means,0.05482066422700882,17.586809918269722,3.0195663944323967,-0.0038883213711592107,0.00790057559916234,0.358974358974359,4.0,0.0
Agglomerative,0.050858400762081146,13.662309984580068,3.3823631094172306,-0.004002937612142233,0.0037639595059004664,0.34615384615384615,4.0,0.0
DBSCAN,,,,0.0,0.0,0.32764505119453924,1.0,19.0
