,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity,n_clusters,noise_points
Raw Audio,0.1804390698671341,153.26313916397993,1.7310720295446367,0.10113136961582177,0.18180747341673822,0.5032051282051282,4.0,0.0
PCA,0.08928733319044113,25.330300079856283,2.6890876868316163,0.2440232736018657,0.27157272584742387,0.6314102564102564,4.0,0.0
Autoencoder,0.05918510630726814,20.444703643224695,2.7892764935468195,-0.0027987861623357596,0.010873696064462037,0.36217948717948717,4.0,0.0
VAE,0.05482066422700882,17.586809918269722,3.0195663944323967,-0.0038883213711592107,0.00790057559916234,0.358974358974359,4.0,0.0
Conv-VAE,0.12440935522317886,52.23494417600455,2.3768244398325207,0.0002618278264326889,0.01727244930741816,0.3782051282051282,4.0,0.0
Beta-VAE,0.05626285448670387,16.165637790465816,3.0725021672676722,-0.0034082439704176634,0.005352957334649213,0.36217948717948717,4.0,0.0
CVAE,0.05972181260585785,15.85160645848458,3.1261393997151323,-0.0015144580819638027,0.011669777820958644,0.3717948717948718,4.0,0.0
